first/last,UBR,URF,UFL,FLU,FUR,FRD,FDL,DLF,DFR,DRB,DLB,RUB,RBD,RDF,RUF,LDB,LUF,LFD,BLD,BDR,BRU
RUF,"[U R : [U2, R D R']]",,"[R B' R', F]","[U' R' : [U', R' D' R]]",,"[U' D' R' : [U', R' D R]]","[R' D : [R' U R, D]]","[D R' : [D, R' U R]]","[R' : [D, R' U R]]","[R2 U' : [R D R', U2]]","[D' R2 U' : [R D R', U2]]","[R, U' L' U]","[R : [U' L' U, R2]]","[R : [U' L' U, R]]",,"[R' D : [R' U R, D2]]","[R U R' D U : [R D R', U2]]","[U' R' : [U', R' D R]]","[U' D R' : [U', R' D R]]","[R' U : [R' D' R, U]]","[R' : [R' D' R, U2]]"
LDB,"[R D' R', U]","[U' : [R D' R', U2]]","[U : [U', R D' R']]","[R' F R : [R D' R', U]]","[R : [R D' R', U]]","[R U' : [R D' R', U2]]","[D' : [R' U R, D']","[D R' : [D2, R' U R]]","[R' : [D, R' U R]]","[R2 U' : [R D' R', U2]]",,"[U R U' : [R' U R, D']]","[R D' : [D2, R' U R]]","[D' : [R' U R, D2]]","[R' D' : [R' U R, D2]]",,"[U' R : [R D' R', U2]]","[R D' R' D' : [U, R D R']]",,"[D', R' U R]","[R' U' : [R D' R', U2]]"
LUF,"[U R' : [R' D' R, U2]]","[F : [U2, R' D' R]]",,,"[U' R : [U2, R D R']]","[U' D' R U' : [R' D R, U2]]","[U' D' R : [U2, R D' R']]","[U R' : [U2, R' D R]]","[U D' R' : [R' D R, U2]]","[R U R' U' : [R D R', U2]]","[U D R' : [R' D R, U2]]","[U R' U D : [R D R', U2]]","[U' R U : [R' D' R, U2]]","[R' U' R U' : [R' D' R, U2]]","[R U R' D U' : [R D R', U2]]","[U' R : [U2, R D' R']]",,"[U' R U' : [R' D R, U2]]","[U' D' R U' : [R' D' R, U2]]","[U' D R : [U2, R D' R']]","[R2' D' U' R U' : [R' D R, U2]]"
LFD,"[U : [R' D R, U]]","[R' D R, U2]","[U' : [R' D R, U']]","[U R U R' : [R' D R, U]]","[R U : [R' D R, U]]","[U' : [D, R U' R']]",,,"[R' D R U : [R D' R', U2]]","[R U D : [D, R' U' R]]","[D' R : [D2, R U2 R']]","[R' U' R' : [R' D R, U']]","[U' D' : [R U' R', D2]]","[R U' R' : [R' D R, U']]","[U' R' : [R' D R, U']]","[R D' R' D' : [R D R', U]]","[U' R U : [R' D R, U2]]",,"[D U' : [R U' R', D]]","[R' U : [R' D R, U]]","[R' : [R' D R, U2]]"
BLD,"[D' : [R D R', U]]","[U' D' : [R D R', U2]]","[U D' : [U, R D R']]","[U D' R U : [R' U' R, D]]","[R D' : [R D R', U]]","[D2, R U2 R']","[D' R D : [R' U R, D2]]","[U D' R' : [R' D2 R, U]]","[U R2 U', L]","[R : [D2, R U2 R']]",,"[U R U', L]","[D2 : [R U2 R', D]]","[R U' D R' : [R' D R, U']]","[U' D R' : [R' D R, U']]",,"[U' D' R U : [R' D' R, U2]]","[D U' : [D, R U' R']]",,"[R' D' : [R D R', U]]","[R' U' D' : [R D R', U2]]"
BDR,"[D : [R D' R', U]]","[D U' : [R D' R', U2]]","[U D : [U, R D' R']]","[L', U R' U']","[D R : [R D' R', U]]","[D R D : [R' U R, D2]]","[R' U R, D2]","[L2, U R' U'] execute as r2 [D R' D'] r2 [U R U']","[R' D : [U, R D' R']]",,"[D' R U' D' R' : [U', R' D R]]","[U D R U' : [R' U R, D']]",,"[R' U R, D]","[R' U : [U, R' D' R]]","[R' U R, D']","[U' D R : [R D' R', U2]]","[R' U : [U, R' D R]]","[R' D' : [U, R D R']]",,"[D R' U' : [R D' R', U2]]"
BRU,,"[R' U D : [R D R', U2]]","[l U' : [R' D R, U2]]","[l U' D : [R' D' R, U2]]","[R B R' U' D' : [R D R', U2]]","[D' R' : [U2, R' D R]]","[R' D : [U2, R' D' R]]","[D R' D U : [R D' R', U2]]","[R' D U : [R D' R', U2]]","[D' R' D U : [R D' R', U2]]","[U2 R : [R D' R', U2]]",,"[R2 U' D' R' : [R' D R, U']]","[R' U : [R D R', U2]]","[R' : [U2, R' D' R]]","[R' U : [R D' R', U2]]","[R2' D' U' R U : [R' D R, U2]]","[R' : [U2, R' D R]]","[R' U D' : [R D R', U2]]","[D R' U : [R D' R', U2]]",
,,,,,,,,,,,,,,,,,,,,,
,PROGRESS (378 TOTAL):,,No. of x rotations:,No. of z rotations:,(never use y rotations duh),No. setups involving F face (excluding regripless comms),,No. of regripless algs (starting from home grip!),,,In notes: * means when not counting regrips while doing a move(s) with the other hand,,,,,,,,,,
,378,,2,0,0,2,,will figure out soon :p,,,,,,,,,,,,,
,,,0.53%,0.00%,0%,0.53%,,,,,,,,,,,,,,,
,,,KE & EK,,,,,,,,,,,,,,,,,,
